wallet,n_trades,n_races,total_notional,net_exposure_ratio,win_rate,mean_edge,edge_stderr,credibility_score
0x56d96394aba0f1a60673693e4be67497e167816d,1,1,0.02,1.0,0.0,-0.2881,inf,-inf
0x56f1dafc9f318e09b1e80ba8d98967fc41ba8a22,2,1,0.01,1.0,0.5,-0.0037499999999999756,0.7917499999999998,-0.7954999999999999
0x56fb341827f4bc9377f2884fd7482aaca3f7edfa,2,1,0.01,1.0,0.5,-0.0041500000000000425,0.77155,-0.7757000000000001
0x5711de7e50690fad13f5fb9603103d0f8f62aa00,5,2,1874.0,0.20267876200640345,0.6,0.14008,0.10938894551096101,0.030691054489039
0x572a7228b96646d47efcf6021547e4f0c1c79384,1,1,0.08,1.0,0.0,-0.2728,inf,-inf
0x573187034ead3753e7f77127cc5fbf9696dea8b7,1,1,0.22,1.0,0.0,-0.776,inf,-inf
0x5736d0f5e129f5b58de216e268734dc2fff7e0ec,1,1,0.01,1.0,0.0,-0.2861,inf,-inf
0x573d2b9c92a969174a1d8d7e859388124454e04e,1,1,0.08,1.0,0.0,-0.2728,inf,-inf
0x5747837fac15ebfe83732eddc3c67707b64be528,3,1,1042.61,0.5204342947027173,0.6666666666666666,0.1996,0.246288171322403,-0.046688171322402994
0x574e3aa34743c81f8f9e65c38599e4da95e83ef1,3,3,301.0,1.0,0.3333333333333333,0.11156666666666665,0.2626854413763944,-0.15111877470972773
0x579e7eb4b643b11cbfd602f5002a9625cced5c28,2,1,2.2,0.03636363636363629,0.5,0.023599999999999954,0.6219,-0.5983
0x57d25e392c86e901ed50e574fe607f4a60b29992,19,7,646.63,0.2917124166834202,0.8421052631578947,0.2619315789473684,0.06165424770758143,0.20027733123978697
0x57d7e8d89df8fa6edc9fd694b3717948cb9b903b,1,1,0.08,1.0,0.0,-0.2883,inf,-inf
0x57e20dba57d9c74c63679ec112af49418e808c9c,13,2,1619.6499999999999,0.7629117401907819,0.07692307692307693,-0.1532769230769231,0.04314732091074889,-0.19642424398767197
0x57e71d856e2ae74736e06ab527c941dcbbd8b0b9,1,1,0.02,1.0,0.0,-0.2881,inf,-inf
0x57e81eb46421d6ac2404cd91e8312a21ae9ae6e2,1,1,2143.68,1.0,0.0,-0.7918,inf,-inf
0x57eb5110124a030d8db1b794bfd861b618080165,1,1,0.02,1.0,0.0,-0.2882,inf,-inf
0x584c964cb7192f5e079b375a3ca7fa5ce7659847,1,1,1.61,1.0,0.0,-0.48140000000000005,inf,-inf
0x584cf0fb4e1381f37ae7c45394b6c8f1514202d6,2,1,0.01,1.0,0.5,-0.004100000000000048,0.7716000000000001,-0.7757000000000001
0x5864eb27f642b02b1a70262d59a9d3d1e6314c1e,2,1,1.8900000000000001,0.11111111111111115,0.5,-0.042149999999999965,0.6221499999999999,-0.6642999999999999
0x586bf5ed20b1b64f63752cf631cd0df4f5850192,1,1,0.41,1.0,0.0,-0.5888,inf,-inf
0x58744f91ed701afdc02d55b0467b09ce62c505f7,24,13,152.35000000000002,0.45703971119133563,0.375,-0.027083333333333334,0.09316258028164688,-0.12024591361498022
0x587ff209ae13baa9913ae62eea5d34e1ba6ef9ff,1,1,19.04,1.0,0.0,-0.6817,inf,-inf
